textDisplay,videojuego,moderationStatus,sentimiento
me espero al remaster,Marvel's Spider-Man 2,,
haaaa me siento como en casa en esta canal hermanos,Marvel's Spider-Man 2,,
nada pues goty,Marvel's Spider-Man 2,,
a href https www youtube com watch v zf2rd1t5bk amp t 6m39s 6 39 a empieza lo bueno,Marvel's Spider-Man 2,,
tremendos exagerados jkjajkhajkja,Marvel's Spider-Man 2,,
25 horas para platinarlo,Marvel's Spider-Man 2,,
no puede ser como pudo caer tan bajo insomniac de sacar obras maestras en vez de juegos mediocres,Marvel's Spider-Man 2,,
yo jugue el 1 nose este pero a ese juego no era mas de un 8 y algo estaba bien pero sin mas aqui veo mas de lo mismo con algunos agregados le viven inflando notas por ser sony,Marvel's Spider-Man 2,,
como me kgan los títulos donde ponen merece la pena br pf que pdnjos se ven jaja,Marvel's Spider-Man 2,,
no he jugado spiderman desde web of shadows de xbox 360 pero si este está en ps4 igual y le doy una oportunidad cool,Marvel's Spider-Man 2,,
peleas intensas y desafiantes cuando en el gameplay nisiquiera lo tocan y tiene toda la vida llena jajaja,Marvel's Spider-Man 2,,
muy buen juego este nuevo espiderman 2 aunque un poco continuista,Marvel's Spider-Man 2,,
que lo saquen pa pc no,Marvel's Spider-Man 2,,
carlos analiza los mejores juegos de la revista no falla pinta a goty,Marvel's Spider-Man 2,,
piter parker traje black hizo mini trastradores 4 i le inyecta en el traje de miles morales para salvarlo y uno a gata black felicia q hizo portales es ella inteligente usa inteligencia arficial y creo portales y park er le instaló mini rastrador y uno a mery ye para cuidarla saber y uno al dr lagarto q es su amigo y le puso rastrador lla q este le enseñó esto y es antagonista sal va a parker le cono ce su pensamiento cuando venon y cazador van a matarlo lagarto le da colazo sal va a parker y lagarto recuerda q le salbo de duende q le matase con tóxico y ele tricidad piter le salbo por eso lagarto pasa jugando con piter parker black no le mata son los protagonistas 6000 calidad fresca aki en 2024 la difru to más cálida fresca,Marvel's Spider-Man 2,,
alchile es un 8 o 8 5,Marvel's Spider-Man 2,,
a href https www youtube com watch v zf2rd1t5bk amp t 6m38s 6 38 a vaya cachondeo el bicho 30 segundos seguidos recibiendo golpes y el comunicador dice que son peleas intensas y desafiantes,Marvel's Spider-Man 2,,
ol,Marvel's Spider-Man 2,,
black cat robo un artefacto del doctor strange,Marvel's Spider-Man 2,,
is that spider man or raiden,Marvel's Spider-Man 2,,
sin más un juego divertido que puede merecer la pena pero que en pocos años caerá en el olvido,Marvel's Spider-Man 2,,
soy yo o se ve peor que él miles morales y el original,Marvel's Spider-Man 2,,
oww se ve bonito,Marvel's Spider-Man 2,,
25 horas que a mi me costarán 70 jajaja br gracias por el análisis carlos me han entrado muchas ganas de jugarlo tenía mis dudas pero viendo la pasión con la que hablas de él creo que voy a tardar poco en caer en sus redes,Marvel's Spider-Man 2,,
qué coño son quot ezpis quot o algo así,Marvel's Spider-Man 2,,
que ganas de fumarme este juego,Marvel's Spider-Man 2,,
un 9 3 queeeeeeee no os lo creéis ni vosotros eso es lo que se tenía que llevar un juego el doble de grande y mucho menos repetitivo como es starfield sin verguenzas peseteros de sony,Marvel's Spider-Man 2,,
pero bueno no os olvidéis que activision es ahora propiedad de microsoft jeje,Marvel's Spider-Man 2,,
en un juego de sony fua es de lo mejor no tiene nada malo juego de xbox está bien pero tiene muchos bugs no va a 60 frames dais asco,Marvel's Spider-Man 2,,
prensa sonyer,Marvel's Spider-Man 2,,
mucho fanboy de xbox como me parto de risa y mas sabiendo que su super exclusivo es un bodrio bloqueado a 30 fps y no pasa del 83,Marvel's Spider-Man 2,,
no quiero ver nada aporque no me quiero spoilear pero se que vale la pena lo tengo reservado desde que se podía reservar,Marvel's Spider-Man 2,,
en mi opinión decir que es el mejor juego de la historia de spiderman no es mojarse,Marvel's Spider-Man 2,,
lo de los aros cuando planeas eso se puede ocultar,Marvel's Spider-Man 2,,
quot alarañas quot ay estos españoles,Marvel's Spider-Man 2,,
si se dan cuenta este video es full 1nutil no aporta nada y solo habla de cosas obvias jaja lo vemos por las ansias que tenemos,Marvel's Spider-Man 2,,
mucho hyipe por tener el juego ya,Marvel's Spider-Man 2,,
y yo que no me he terminado ninguno porque se me hace repetitivo,Marvel's Spider-Man 2,,
muy tarde esre video ya lo reserve hace una semana xd,Marvel's Spider-Man 2,,
mmmm nose no me convence este juego todavia sigo viendo mucho del anterior que jugué y si me pones al lado el batman arkham city comparando el vuelo no veo algo distintivo y el hecho que le quitaron el modo sigilo me parece negativo por que era algo que ayudaba a bajar el ritmo del juego y no se convirtiera en machaca botones veo un juego igual a lo que fue zelda tears of the kimgdom un juego con un gran dlc como mucho por los aspectos positivos realmente llegaria a un 8 5 como su antecesor cuando se lanzó,Marvel's Spider-Man 2,,
no se si soy yo pero mucho hud pero es comprensible por las nuevas mecanicas de juego pero se siento como si me fuera a perder,Marvel's Spider-Man 2,,
goty,Marvel's Spider-Man 2,,
la gente se preocupa por lo de solo 25 horas para el platino pero yo por ejemplo al primer spider man le eche casi 200 horas sin aburrirme,Marvel's Spider-Man 2,,
joder macho con el tipico comentario de quot no busca reinventar nada quot que necesitais vosotros,Marvel's Spider-Man 2,,
sony y spider man mejor es halo y xbox,Marvel's Spider-Man 2,,
pintaza imsomniac es un de los estudios del momento muchas ganas de ver qué están preparando con wolverine,Marvel's Spider-Man 2,,
deberian de encargarse de alguna saga de iron man,Marvel's Spider-Man 2,,
ajjajaja son los mejores vendiendo su anitol basuras vándalos,Marvel's Spider-Man 2,,
a href https www youtube com watch v zf2rd1t5bk amp t 6m40s 6 40 a si habéis querido ejemplificar en imágenes lo que estáis diciendo no habéis podido coger imágenes mas desacertadas br decís una cosa y mostráis completamente lo opuesto,Marvel's Spider-Man 2,,
lo mismo de siempre cagada de juego,Marvel's Spider-Man 2,,
tengo que decir algo antes de ver el vídeo y espero que alguien me responda cómo cojones van a opinar si vale la pena el juego si no a salido no se supone que salía el 21 tengo entendido,Marvel's Spider-Man 2,,
me hace gracia esta gente que dicen que es continuista normal que quieres que sea un shooter parecéis retrasados en vandal y los haters de xbox luego al zelda que era mega continuista le poneis 10 ainsss,Marvel's Spider-Man 2,,
chau starfield,Marvel's Spider-Man 2,,
resumen si vale la pena,Marvel's Spider-Man 2,,
solo decir muchas gracias sony esto parece películas soy fanático del spiderman ps5 esta on fire,Marvel's Spider-Man 2,,
vamos a ver cómo sony se las apaña para lo que se le viene con un solo juego,Marvel's Spider-Man 2,,
el juego ultra corto parece dlc y a 80 napos xd,Marvel's Spider-Man 2,,
hubiera sido un juegazo con unreal 5,Marvel's Spider-Man 2,,
primer dia de rrseñas y ya tiene mas de 100 notas en metacritic no como otros estudios que solo le dan copia del juego a las páginas que llevan una x en su nombre,Marvel's Spider-Man 2,,
hombre normal es un dlc como no va a tener la misma movilidad xd,Marvel's Spider-Man 2,,
que buena pelicula v,Marvel's Spider-Man 2,,
una pregunta y por qué no salió para ps4,Marvel's Spider-Man 2,,
amo zelda totk pero este spiderman 2 pinta a goty br br rip xbox,Marvel's Spider-Man 2,,
a ver gente es una secuela obviamente no van a innovar como es el segundo juego pues a mí me parece bien ya que el primero es un juegazo eso si una nueva entrega ya tendría que ser mucho más revolucionaria para que merezca la pena,Marvel's Spider-Man 2,,
goty,Marvel's Spider-Man 2,,
me da verg enza que pongan quot merece la pena quot que falta de respeto están de coña,Marvel's Spider-Man 2,,
le están dando unas notas increíbles de todas partes a disfrutar de este juegazo gente y ni caso a lo que digan los tóxicos de siempre,Marvel's Spider-Man 2,,
juegazo no me interesaba conseguirlo pero ahora viéndolo creo que en navidad me compraré este y el sonic superstars probé el mario wonder y se me hizo aburridísimo,Marvel's Spider-Man 2,,
comenta si tienes ps4 y tienes confianza en que salga para ps4,Marvel's Spider-Man 2,,
tirándole flores a sony vandal,Marvel's Spider-Man 2,,
te hacen una carga invisble que es ponerte la pantalla en negro pero eh si lo hace starfield mal como se os ve el plumero piperos peleas desafiantes que no se trata de repetir un patron y se ve a spiderman simbionte dando el mismo combo de puñetazos contra el lagarto una y otra vez no nos engañemos es un buen juego pero siendo el mismo juego que el anterior eso deberia restar puntos luego nos quejamos de que son iguales los assasin creed los fifa,Marvel's Spider-Man 2,,
me gusta spiderman pero el cinismo de esta gente es bestial casi me ofende br seamos sinceros sigue siendo spiderman puedo ver con claridad que algo raro pasa y me ofende que subestimen mi inteligencia,Marvel's Spider-Man 2,,
esto es un dlc que no nos engañen que nos digan la verdad,Marvel's Spider-Man 2,,
39 spidersaludos me gustó tu video de la gran novedad que se tiene sobre marvel spider man 2,Marvel's Spider-Man 2,,
spidergotyman 2,Marvel's Spider-Man 2,,
dios mio amigo porque la gente es tan toxica coño que esto es una secuela esperen a jugar el juego no se guíen solo por una review de algo que ni mostraron completamente esto no es una nueva ip sigue la linea con su antiguo predecesor el spider man 1 y es un juego de spider man hay gente que lo alaba demás si hay gente que espera a ver el juego y criticarlo pq si solo pq le arde las opiniones de la gente que lo alaba demás ignoralos y ya no te dediques a hacer la misma mierda e incluso peor esta comunidad esta condenada zelda totk es tan dlc que te lo pasas yendo al grano en unas 50 horas el spider man lo platinas en 25 pero es que la percepción del tiempo se altera en los juegos haces pausa para comer ir al baño etc no estás pegado las 24 horas eso es solo no cuidar el dlc es diferente pero claro eso solo lo dice la gente toxica que no ha estado en la industria esto se lleva haciendo con las secuelas desde la ness pero claro estas personas apenas y son de esta generación de consolas jajajaj en serio que comunidad más mierda espero disfruten el juego los que lo juegan y no la gente que solo ve opiniones ajenas de vídeos o otras cosas buen día a todos bg3 o zelda totk mi candidato a goty jsjsj y tal vez el spider man cuando lo juegue,Marvel's Spider-Man 2,,
jajajaja es increible la cantidad de ardor que hay entre los xboxers no importa que tengan a bethesda y activision siempre tienen envidia de lo que hay en las demas consolas,Marvel's Spider-Man 2,,
que gracioso como alaban a repetitividad en este juego mientras a otros lo tunden por eso a href https www youtube com watch v zf2rd1t5bk amp t 6m38s 6 38 a quot el plato fuerte del juego son los jefes con combates intensos y desafieantes donde nos obligan a usar el entorno a nuestro favor quot ni siquiera se movió del sitio se quedó en el mismo lugar pulsando un botón sin sufrir daño o estaba en modo fácil,Marvel's Spider-Man 2,,
si lo compro en la playstation store ya deja jugar,Marvel's Spider-Man 2,,
bueno en mi opinión en el primer juego si me aburrieron esas misiones secundarias dónde debes encontrar varias cosas como las mochilas y atrapar las palomas y este juego es un meh ya que regresa eso solo que atrapando robots ahora,Marvel's Spider-Man 2,,
buahhh los gráficos me decepcionaron se ven casi igual que en ps4,Marvel's Spider-Man 2,,
sabes si este tiene tiempo dinámico o es como el primero que no pasaba el tiempo,Marvel's Spider-Man 2,,
primer dia de reseñas y ya tiene mas de 100 reseñas distintas en metacritic cuando un estudio confia en su videojuego se nota no como bethesta que le da las copias de reseña nomas a 20 paginas para que tenga nota alta de salida,Marvel's Spider-Man 2,,
le pintan un 9 2 a otro dlc de los dos primeros increíble,Marvel's Spider-Man 2,,
pero que le pasa a esta página a leguas se ve que es un juego casi perfecto el primer y real nex gen y le pone esa nota,Marvel's Spider-Man 2,,
increíble lo que argumenta de los bosses mientras enseña un combate en el que el boss solo se dedica a recibir golpes xd,Marvel's Spider-Man 2,,
es una broma no,Marvel's Spider-Man 2,,
joder macho que lastima lo del bubniak ver a ese peter tan bien hecho en esta historia hubiese sido increíble jamas sentí tanta empatia con un peter parker este niño no identifica con nada,Marvel's Spider-Man 2,,
los gamers estamos de enhorabuena que nunca nos falten obras maestras como este juego,Marvel's Spider-Man 2,,
dice que si vale la pena br la pregunta ofende vandal,Marvel's Spider-Man 2,,
like numero 932,Marvel's Spider-Man 2,,
la verdad tiene mas pinta de dlc que de juego completo yo veo lo mismo de siempre,Marvel's Spider-Man 2,,
lo único del análisis es lo dr las misiones secundarias todos absolutamente todos los juegos se repiten unos más que otros obviamente pero en ragnarok lo único que diferenciaba las misiones secundarias en la narrativa de resto es igual ir del punto a al b y combatir pero en algunos juegos los que hacen el análisis en todos estos canales se victimizan de las misiones secundarias,Marvel's Spider-Man 2,,
lastima que juego en pc pero espero que saquen pronto la version para pc porque la ps5 esta mas cara que el pingo,Marvel's Spider-Man 2,,
menuda nota más hinchada ni de broma es un juego de 9,Marvel's Spider-Man 2,,
jajajajaja solo con los juegos de sony todo es bueno que risa como dicen que es continuista pero dicen que lo perfecciona jajajsjsjsja que no se note lo comprado que están está gente muy bonito el spiderman pero de un 80 no pasa se roban la mecánica de planeo de batman el estilo de pelea y la manera de hacer las misiones pero bueno así estamos en estos tiempos,Marvel's Spider-Man 2,,
ojalá en un futuro hagan un dlc o un título para spider gwen pedir ya un spider verse sería demasiado,Marvel's Spider-Man 2,,
pero si es el mismo juego tercera parte con otra historia claro faltaría más jajajajajajajja te tienes que reír con la panda del moco esta donde siempre lo tenéis,Marvel's Spider-Man 2,,
le doctore young no tengo mas que decir asco woke,Marvel's Spider-Man 2,,
creo que al fan de xbox no le va a gustar este video,Marvel's Spider-Man 2,,
lo veo muy muy similar al primer spiderman con otras mecanicas pero me da igual porque el primero era y sigue siendo bestial y eso ya es mucho para disfrutar con la siguiente aventura,Marvel's Spider-Man 2,,
era necesario dejar tanto tiempo la persecucion de black cat me hiciste ahí tremendo spoiler bueno al menos no fue tanto spoiler comparado a otros medios qué empiezan con 3d que apenas vi 3 minutos y adiós jaja,Marvel's Spider-Man 2,,
repito de nuevo el simbionten venom es bueno repito,Marvel's Spider-Man 2,,
no veas como se nota que es de nueva generacion menos malllllllllllllllllllllllll por dios,Marvel's Spider-Man 2,,
esta de más ese título,Marvel's Spider-Man 2,,
una verguenza parece un dlc no mas,Marvel's Spider-Man 2,,
a href https www youtube com watch v zf2rd1t5bk amp t 6m40s 6 40 a lo que dices se contradice con lo que aparece en pantalla esa pelea contra el lagarto se ve pesima nisiquiera ataca devuelta,Marvel's Spider-Man 2,,
xd,Marvel's Spider-Man 2,,
los que decian que totk era un dlc donde estan un 9 3 le ponen vaya fandom de pagina,Marvel's Spider-Man 2,,
considero a el merece la pena en el título como algo retórico una pregunta a ese estilo sí debe ser eso efectivamente,Marvel's Spider-Man 2,,
en el título no tendría que poner merece la pena o no tendría que poner es un 10 el juego,Marvel's Spider-Man 2,,
no,Marvel's Spider-Man 2,,
goty 2023 este juego esta a punto de cambiar la humanidad y trascendencia a la historia del gaming como siempre solo en playstation,Marvel's Spider-Man 2,,
alguien reservo el juego el game,Marvel's Spider-Man 2,,
vandal tengo una pregunta se ve peor en el video o es q el juego se ve asi me refiero a los gráficos es q tengo el miedo de q se vea mal,Marvel's Spider-Man 2,,
ni compras ni flautas aquí está el espíritu de los videojuegos los que pueden disfrutar de juegos como éste son los que ganan,Marvel's Spider-Man 2,,
juegazo no veo las horas de poder jugarlo saludos cordiales desde argentina,Marvel's Spider-Man 2,,
pueden hacer tambien la reseña del juego pero para ps4,Marvel's Spider-Man 2,,
que lindos se ven esos 60 fps en ps5 ya de la espectacularidad del juego ni hablemos el que es usuario sabe y conoce la calidad de los gotys de playstation otro aaa que quitan el hipo junto con ratchet ragnarok forbiden west demon souls remake tlou parte 1 y final fantasy 16 esta gen para los jugadores,Marvel's Spider-Man 2,,
me dices que sale en ps4 y me lo creo es un juegazo eso está claro pero yo me esperaba ver ese salto que demuestre que por fin ya está la nueva generación y que esté sería lo que fué quot uncharted 4 quot en 2016 en ps4 a tres años de la generación pero con spider man 2 en este caso y en ese aspecto no lo he visto y eso que lo he visto a 1080p y 60 fps y me sigue pareciendo un juego de ps4 más que de ps5 br a estas alturas pienso que no hay nada que no pueda mover una ps4 con sus recortes perfectamente esta nueva generación pienso que ha salido demasiado pronto y que el hecho de que sigan saliendo juegos en ps4 refuerza el hecho de que ps5 y xbox series no dejan de ser quot consolas vitaminadas quot de ps4 pro y xbox one x quizás sobre 2025 si que veamos los juegos de verdad next gen pero por el momento es un jarro de agua fría en mi opinión,Marvel's Spider-Man 2,,
un triple a que otra vez juega sobre seguro un sistema de sigilo facil y obsoleto y misiones secundarias nuevamente repetitivas y obsoletas resultado demosle un 93 la prensa cuando sale un juego de sony le importa un bledo las cosas negativas jaja,Marvel's Spider-Man 2,,
eso de gracias a las posibilidades de ps5 es relleno q no aporta a la prosa ac mirage es mejor sin duda y se valora menos,Marvel's Spider-Man 2,,
en serio hay alguien que se cree la nota a esta altura era sabido que lo sobrevalorarian como hacen con todos los exclusivos de sony,Marvel's Spider-Man 2,,
se viene la chupadera de pitó a papi geystation,Marvel's Spider-Man 2,,
gran reseña,Marvel's Spider-Man 2,,
jajajaja literal dijeron nos da igual que sea identico a los otros dos juegos mientras que de starfiel dijeron que repetía lo mismo de skyrim y por ello lo hacía monótono y repetitivo así o más comprados,Marvel's Spider-Man 2,,
juego meco de 11 horas,Marvel's Spider-Man 2,,
se viene el goty 23,Marvel's Spider-Man 2,,
